date,symbol,gap_percentage,previous_close,open,high,low,close,volume,dollar_change
2024-06-25 04:00:00+00:00,NKLA,2842.69,0.35,10.32,10.35,8.77,9.37,4102480,9.97
2023-04-25 04:00:00+00:00,ML,2841.02,0.37,10.77,11.81,7.5,9.19,562670,10.4
2024-05-14 04:00:00+00:00,ADN,2817.87,0.1,3.02,3.41,2.77,3.36,283949,2.92
2024-08-26 04:00:00+00:00,TOVX,2816.67,0.14,4.2,4.2,3.13,3.29,177729,4.06
2024-10-15 04:00:00+00:00,UAVS,2810.6,0.1,2.8,2.99,2.25,2.69,2001315,2.7
2024-01-19 05:00:00+00:00,CNEY,2732.37,0.05,1.47,1.6,1.25,1.6,327682,1.42
2024-04-05 04:00:00+00:00,RNAC,2714.92,0.5,14.19,16.5,13.19,13.31,242352,13.69
2024-10-03 04:00:00+00:00,CETX,2698.17,0.09,2.44,3.49,2.24,2.56,4170801,2.35
2024-10-11 04:00:00+00:00,CAMP,2690.0,0.4,11.16,11.5,10.25,10.72,849395,10.76
2023-06-27 04:00:00+00:00,AREB,2686.36,0.19,5.23,6.49,4.73,5.5,6907304,5.04
2024-09-11 04:00:00+00:00,WTO,2625.0,0.04,1.09,1.11,0.75,0.79,9151501,1.05
2024-11-11 05:00:00+00:00,FCEL,2598.92,0.25,6.75,7.45,6.15,6.68,1812596,6.5
2023-09-08 04:00:00+00:00,BACK,2592.31,0.1,2.8,3.12,2.25,2.67,334352,2.7
2023-04-12 04:00:00+00:00,LOGC,2591.95,0.33,8.8,8.85,7.86,7.95,5206740,8.47
2024-11-26 05:00:00+00:00,CTXR,2581.65,0.13,3.58,4.25,2.55,4.15,1735386,3.45
2024-09-05 04:00:00+00:00,DPRO,2581.51,0.1,2.77,2.77,1.93,2.31,684398,2.67
2023-01-26 05:00:00+00:00,SWVL,2574.42,0.15,4.14,4.14,3.47,3.65,578593,3.99
2024-11-21 05:00:00+00:00,NMHI,2557.14,0.07,1.86,2.33,1.85,2.2,655695,1.79
2024-02-15 05:00:00+00:00,TNFA,2555.66,0.13,3.54,3.84,3.03,3.27,199498,3.41
2024-10-11 04:00:00+00:00,ALCE,2541.29,0.09,2.29,3.19,2.29,2.64,1268714,2.2
2024-04-16 04:00:00+00:00,NCNA,2523.6,0.18,4.67,5.14,3.69,3.9,121583,4.49
2023-02-14 05:00:00+00:00,CRBP,2514.2,0.14,3.72,4.02,3.11,3.28,377693,3.58
2024-11-18 05:00:00+00:00,MSPR,2468.68,0.07,1.87,1.94,1.48,1.69,358738,1.8
2023-07-28 04:00:00+00:00,NAYA,2450.48,0.19,4.8,7.2,4.08,4.59,6068964,4.61
2025-01-03 05:00:00+00:00,ALUR,2447.94,0.42,10.63,10.9,7.14,7.95,193644,10.21
2023-06-09 04:00:00+00:00,XTKG,2441.25,0.06,1.54,1.72,1.5,1.5,742589,1.48
2024-05-02 04:00:00+00:00,SGBX,2440.83,0.11,2.8,3.95,2.58,2.93,16446578,2.69
2024-07-08 04:00:00+00:00,CJET,2437.04,0.27,6.85,7.34,5.29,6.0,188912,6.58
2024-09-11 04:00:00+00:00,ALLR,2411.01,0.11,2.85,3.95,2.58,3.78,331923,2.74
2023-08-07 04:00:00+00:00,ADIL,2398.94,0.24,5.91,6.5,5.24,6.22,206015,5.67
2024-02-27 05:00:00+00:00,AUUD,2368.35,0.16,3.9,3.91,3.06,3.25,138348,3.74
2024-02-09 05:00:00+00:00,GRYP,2342.6,0.31,7.66,8.43,4.71,5.71,383106,7.35
2024-06-20 04:00:00+00:00,ATRA,2330.31,0.39,9.59,10.0,8.77,8.9,102164,9.2
2024-11-04 05:00:00+00:00,NVD,2319.26,1.35,32.66,33.52,31.89,33.27,2417289,31.31
2024-08-30 04:00:00+00:00,GLTO,2306.19,0.48,11.67,13.68,11.65,11.95,130427,11.19
2024-01-17 05:00:00+00:00,GPUS,2306.02,0.05,1.28,1.3,0.84,0.89,2830026,1.23
2024-06-10 04:00:00+00:00,TNXP,2301.54,0.1,2.5,2.64,2.18,2.21,939173,2.4
